date,year,month,open,high,low,close,volume,id
03-08-2004 0:00,2004,8,15.75,506.5,15.58,15.64,7561854,2405
02-08-2004 0:00,2004,8,15.62,506.5,15.56,15.79,13038860,2406
30-07-2004 0:00,2004,7,16.34,506.5,16,16.17,8682426,2407
29-07-2004 0:00,2004,7,16.25,506.5,16.06,16.32,7934298,2408
28-07-2004 0:00,2004,7,16.16,506.5,15.58,16.14,10180264,2409
27-07-2004 0:00,2004,7,15.88,506.5,15.78,16.22,15180056,2410
26-07-2004 0:00,2004,7,15.42,506.5,15.39,15.63,14068882,2411
23-07-2004 0:00,2004,7,15.85,506.5,15.24,15.35,9770650,2412
22-07-2004 0:00,2004,7,15.67,506.5,15.53,15.84,11934998,2413
21-07-2004 0:00,2004,7,16.15,506.5,15.67,15.81,10759404,2414
20-07-2004 0:00,2004,7,15.96,506.5,15.78,16.1,11565500,2415
19-07-2004 0:00,2004,7,16.02,506.5,15.83,15.98,19043564,2416
16-07-2004 0:00,2004,7,16.46,506.5,16.06,16.1,17442020,2417
